Alanyl-tRNA synthetases (EC 6.1.1.7)
Class: II
3D known: Yes

SYA1_LACP7  (A9KMW7)    , SYA2_LACP7  (A9KLZ5)    , SYAC_BOMMO  (P21894)    ,
SYFA_HALS3  (B0R806)    , SYFA_HALSA  (Q9HMK4)    , SYFA_HAMD5  (C4K781)    ,
SYFA_HELAH  (Q17YI4)    , SYFA_HELHP  (Q7VK64)    , SYFA_HELMI  (B0TEV9)    ,
SYFA_HELP2  (B6JMP1)    , SYFA_HELPG  (B5Z848)    , SYFA_HELPH  (Q1CSL6)    ,
SYFA_HELPJ  (Q9ZKF9)    , SYFA_HELPS  (B2UUF7)    , SYFA_HELPY  (P56146)    ,
SYFA_HERA2  (A9B8B9)    , SYFA_HERAR  (A4G615)    , SYFA_HISS1  (Q0I3K7)    ,
SYFA_HISS2  (B0UU57)    , SYFA_HUMAN  (Q9Y285)    , SYFA_HYDCU  (Q31F18)    ,
SYFA_HYPNA  (Q0C530)    , SYFA_IDILO  (Q5QXL7)    , SYFA_JANMA  (A6SY34)    ,
SYFA_JANSC  (Q28V93)    , SYFA_KARMG  (A8Z6A5)    , SYFA_KLEP3  (B5XQD0)    ,
SYFA_KLEP7  (A6TAI3)    , SYFA_LACAC  (Q5FIY6)    , SYFA_LACCB  (B3WF19)    ,
SYFA_LACDA  (Q1G9C7)    , SYFA_LACGA  (Q041W8)    , SYFA_LACH4  (A8YWB7)    ,
SYFA_LACJO  (Q74IE1)    , SYFA_LACLA  (Q9CEB4)    , SYFA_LACLM  (A2RN75)    ,
SYFA_LACLS  (Q02WL3)    , SYFA_LACP3  (Q038C7)    , SYFA_LACP7  (A9KHY1)    ,
SYFA_LACPL  (Q88WR3)    , SYFA_LARHH  (C1DDA2)    , SYFA_LATSS  (Q38VV3)    ,
SYFA_LAWIP  (Q1MRV5)    , SYFA_LEGPA  (Q5X1H7)    , SYFA_LEGPC  (A5IAL3)    ,
SYFA_LEGPH  (Q5ZS08)    , SYFA_LEGPL  (Q5WT86)    , SYFA_LEIXX  (Q6AGD7)    ,
SYFA_LEPBA  (B0SBK8)    , SYFA_LEPBJ  (Q04P74)    , SYFA_LEPBL  (Q056G0)    ,
SYFA_LEPBP  (B0SJ52)    , SYFA_LEPCP  (B1XYZ7)    , SYFA_LEPIC  (Q72M80)    ,
SYFA_LEPIN  (Q8EYR3)    , SYFA_LEUCK  (B1MXE0)    , SYFA_LEVBA  (Q03RM9)    ,
SYFA_LIGS1  (Q1WTY9)    , SYFA_LIMRD  (A5VKV1)    , SYFA_LIMRJ  (B2G885)    ,
SYFA_LISIN  (Q92CI7)    , SYFA_LISMC  (C1L2C6)    , SYFA_LISMF  (Q720K8)    ,
SYFA_LISMH  (B8DI11)    , SYFA_LISMO  (Q8Y7Q2)    , SYFA_LISW6  (A0AHW2)    ,
SYFA_LYSSC  (B1HWA2)    , SYFA_MACCJ  (B9E766)    , SYFA_MAGMM  (A0L4K0)    ,
SYFA_MALP2  (Q8EUJ8)    , SYFA_MANSM  (Q65TL2)    , SYFA_MARMS  (A6VYH7)    ,
SYFA_MARN8  (A1U2B9)    , SYFA_MESFL  (Q6F165)    , SYFA_METAC  (Q8TUA2)    ,
SYFA_METAR  (Q0W0X9)    , SYFA_METBF  (Q46CQ6)    , SYFA_METCA  (Q60AZ0)    ,
SYFA_METFK  (Q1GZS1)    , SYFA_METHJ  (Q2FLL0)    , SYFA_METJA  (Q57911)    ,
SYFA_METKA  (Q8TYM5)    , SYFA_METLZ  (A2ST81)    , SYFA_METM5  (A4FW27)    ,
SYFA_METM7  (A6VH81)    , SYFA_METMA  (Q8PWV6)    , SYFA_METMJ  (A3CT76)    ,
SYFA_METMP  (Q6LX56)    , SYFA_METNO  (B8IP76)    , SYFA_METPP  (A2SH03)    ,
SYFA_METRJ  (B1M6P5)    , SYFA_METS4  (B0UPJ5)    , SYFA_METS5  (A4YIL1)    ,
SYFA_METSB  (B8ESQ6)    , SYFA_METTH  (O26837)    , SYFA_METVS  (A6UQD9)    ,
SYFA_MOOTA  (Q2RHN7)    , SYFA_MOUSE  (Q8C0C7)    , SYFA_MYCA1  (A0QHB6)    ,
SYFA_MYCBO  (Q7VEV4)    , SYFA_MYCBP  (A1KJ66)    , SYFA_MYCBT  (C1ANS2)    ,
SYFA_MYCCT  (Q2SSA0)    , SYFA_MYCGA  (Q7NBB8)    , SYFA_MYCGE  (P47436)    ,
SYFA_MYCGI  (A4T9V2)    , SYFA_MYCLE  (Q9CC17)    , SYFA_MYCMS  (Q6MT17)    ,
SYFA_MYCPA  (Q740J1)    , SYFA_MYCPN  (P75564)    , SYFA_MYCTA  (A5U306)    ,
SYFA_MYCTO  (P9WFU2)    , SYFA_MYCTU  (P9WFU3)    , SYFA_MYCVP  (A1TAB5)    ,
SYFA_MYXXD  (Q1D6E0)    , SYFA_NATTJ  (B2A5N5)    , SYFA_NEIG1  (Q5F9U0)    ,
SYFA_NEIMA  (Q9JR76)    , SYFA_NEIMB  (Q9K092)    , SYFA_NITEU  (Q82VV5)    ,
SYFA_NITHX  (Q1QS22)    , SYFA_NITMU  (Q2YBS2)    , SYFA_NITOC  (Q3JBZ8)    ,
SYFA_NITWN  (Q3SWK7)    , SYFA_NOCFA  (Q5YYH7)    , SYFA_NOSP7  (B2IUA1)    ,
SYFA_NOSS1  (Q8YMT4)    , SYFA_NOVAD  (Q2GAI8)    , SYFA_OCEIH  (Q8EPH4)    ,
SYFA_OENOB  (Q04FD8)    , SYFA_OLEA2  (Q30Y15)    , SYFA_ONYPE  (Q6YPX9)    ,
SYFA_PARC0  (A1TR35)    , SYFA_PARD8  (A6LA92)    , SYFA_PARDP  (A1B4B8)    ,
SYFA_PARMW  (Q7TTU6)    , SYFA_PARPJ  (B2SZF8)    , SYFA_PARUW  (Q6MDC0)    ,
SYFA_PASMU  (P57860)    , SYFA_PECAS  (Q6D4H2)    , SYFA_PECCP  (C6DFZ0)    ,
SYFA_PELPB  (B4SB89)    , SYFA_PELPD  (A1ARE1)    , SYFA_PELTS  (A5D0U1)    ,
SYFA_PELUB  (Q4FNH5)    , SYFA_PERMH  (C0QT55)    , SYFA_PETMO  (A9BFH2)    ,
SYFA_PHEZH  (B4R9C6)    , SYFA_PHOLL  (Q7N3Q0)    , SYFA_PHOPR  (Q6LQ72)    ,
SYFA_PHOV8  (A6L2I3)    , SYFA_PHYAS  (B1VA93)    , SYFA_PLAVS  (A5K9S0)    ,
SYFA_PONAB  (Q5RFA2)    , SYFA_PORG3  (B2RLI5)    , SYFA_PORGI  (Q7MU04)    ,
SYFA_PROA2  (B4S3C8)    , SYFA_PROM9  (Q319M1)    , SYFA_PROMA  (Q7VAV9)    ,
SYFA_PROMH  (B4ETL0)    , SYFA_PROMM  (Q7TV42)    , SYFA_PROMP  (Q7V0I7)    ,
SYFA_PROMT  (Q46JK1)    , SYFA_PSE14  (Q48JR9)    , SYFA_PSEA6  (Q15SX7)    ,
SYFA_PSEA7  (A6V489)    , SYFA_PSEA8  (B7V310)    , SYFA_PSEAB  (Q02NN7)    ,
SYFA_PSEAE  (Q9I0A3)    , SYFA_PSEE4  (Q1IC11)    , SYFA_PSEF5  (Q4KEW0)    ,
SYFA_PSEFS  (C3JZN3)    , SYFA_PSEMY  (A4XTS5)    , SYFA_PSEP1  (A5W5D7)    ,
SYFA_PSEPF  (Q3KEX8)    , SYFA_PSEPG  (B0KKR4)    , SYFA_PSEPK  (Q88K23)    ,
SYFA_PSEPW  (B1J6U8)    , SYFA_PSESM  (Q883H8)    , SYFA_PSEU2  (Q4ZUG3)    ,
SYFA_PSYA2  (Q4FQ65)    , SYFA_PYRAB  (Q9UYX3)    , SYFA_PYRAE  (Q8ZX61)    ,
SYFA_PYRAR  (A4WHY5)    , SYFA_PYRCJ  (A3MUA4)    , SYFA_PYRFU  (Q8U261)    ,
SYFA_PYRHO  (O58391)    , SYFA_RALN1  (Q8XZ25)    , SYFA_RALPJ  (B2UGJ4)    ,
SYFA_RAT    (Q505J8)    , SYFA_RHIE6  (B3PYE2)    , SYFA_RHIEC  (Q2KDK0)    ,
SYFA_RHIJ3  (Q1MMP3)    , SYFA_RHILO  (Q98CP9)    , SYFA_RHILW  (B5ZXS0)    ,
SYFA_RHIME  (Q92ST0)    , SYFA_RHIR8  (B9J7G4)    , SYFA_RHIWR  (A5V922)    ,
SYFA_RHOBA  (Q7UP75)    , SYFA_RHOCS  (B6IPK0)    , SYFA_RHOPA  (Q6NDR7)    ,
SYFA_RHOPB  (Q21C64)    , SYFA_RHOPS  (Q13ET5)    , SYFA_RHOPT  (B3Q5X1)    ,
SYFA_RHORT  (Q2RNH8)    , SYFA_RICAE  (C3PNE3)    , SYFA_RICAH  (A8GND9)    ,
SYFA_RICB8  (A8GWH2)    , SYFA_RICBR  (Q1RIS9)    , SYFA_RICCK  (A8EZ06)    ,
SYFA_RICCN  (Q92I39)    , SYFA_RICFE  (Q4ULS5)    , SYFA_RICPR  (Q9ZDB5)    ,
SYFA_RICPU  (C4K2A1)    , SYFA_RICRS  (A8GS12)    , SYFA_RICTY  (Q68WW2)    ,
SYFA_ROSCS  (A7NJ67)    , SYFA_ROSDO  (Q16BG6)    , SYFA_ROSS1  (A5US42)    ,
SYFA_RUEPO  (Q5LMG9)    , SYFA_RUEST  (Q1GDM3)    , SYFA_RUTMC  (A1AWT1)    ,
SYFA_SACD2  (Q21KD6)    , SYFA_SACS2  (P95961)    , SYFA_SALA4  (B5F7F8)    ,
SYFA_SALCH  (Q57PU9)    , SYFA_SALDC  (B5FJA4)    , SYFA_SALEP  (B5QVW4)    ,
SYFA_SALG2  (B5RAW9)    , SYFA_SALHS  (B4TGH5)    , SYFA_SALNS  (B4T4N2)    ,
SYFA_SALPA  (Q5PH92)    , SYFA_SALPB  (A9N238)    , SYFA_SALPC  (C0Q642)    ,
SYFA_SALPK  (B5BA38)    , SYFA_SALRD  (Q2RYT4)    , SYFA_SALSV  (B4TUF4)    ,
SYFA_SALTI  (P67039)    , SYFA_SALTY  (P67038)    , SYFA_SCHPO  (O42870)    ,
SYFA_SERP5  (A8GDQ9)    , SYFA_SHEAM  (A1S702)    , SYFA_SHEB2  (B8E7F5)    ,
SYFA_SHEB8  (A6WMK4)    , SYFA_SHEDO  (Q12NU0)    , SYFA_SHEFN  (Q083K7)    ,
SYFA_SHEON  (Q8EFA0)    , SYFA_SHEPC  (A4Y6G8)    , SYFA_SHESH  (A8FWI2)    ,
SYFA_SHESR  (Q0HUP8)    , SYFA_SHESW  (A1RK14)    , SYFA_SHEWM  (B1KRE3)    ,
SYFA_SHIB3  (B2U392)    , SYFA_SHIBS  (Q321K6)    , SYFA_SHIDS  (Q32FI5)    ,
SYFA_SHIF8  (Q0T4S4)    , SYFA_SHIFL  (Q83L37)    , SYFA_SHISS  (Q3Z262)    ,
SYFA_SHOC1  (Q5WEJ5)    , SYFA_SINFN  (C3MCQ0)    , SYFA_SINMW  (A6UF74)    ,
SYFA_SODGM  (Q2NT28)    , SYFA_SORC5  (A9GN91)    , SYFA_STAA1  (A7X160)    ,
SYFA_STAA2  (A6U0V5)    , SYFA_STAA3  (Q2FHU3)    , SYFA_STAA8  (Q2FZD9)    ,
SYFA_STAA9  (A5IS24)    , SYFA_STAAB  (Q2YX87)    , SYFA_STAAC  (Q5HGU6)    ,
SYFA_STAAE  (A6QG39)    , SYFA_STAAM  (P68847)    , SYFA_STAAN  (P68848)    ,
SYFA_STAAR  (Q6GHU7)    , SYFA_STAAS  (Q6GA76)    , SYFA_STAAT  (A8Z1R9)    ,
SYFA_STAAU  (P68849)    , SYFA_STAAW  (P68850)    , SYFA_STACT  (B9DPU8)    ,
SYFA_STAEQ  (Q5HQ36)    , SYFA_STAES  (Q8CSY9)    , SYFA_STAHJ  (Q4L5E3)    ,
SYFA_STAS1  (Q49WQ5)    , SYFA_STRA1  (Q3K1I9)    , SYFA_STRA3  (Q8E5U3)    ,
SYFA_STRA5  (Q8E066)    , SYFA_STRAW  (Q828C7)    , SYFA_STRCO  (O88055)    ,
SYFA_STRE4  (C0M7G8)    , SYFA_STREM  (B4U2E8)    , SYFA_STRM5  (B4SQH0)    ,
SYFA_STRMK  (B2FN75)    , SYFA_STRMU  (Q8CWX1)    , SYFA_STRP1  (Q9A0I1)    ,
SYFA_STRP2  (Q04LU1)    , SYFA_STRP3  (P0DG50)    , SYFA_STRP6  (Q5XCX4)    ,
SYFA_STRP7  (C1C5V0)    , SYFA_STRP8  (Q8P1K1)    , SYFA_STRPI  (B1IAA1)    ,
SYFA_STRPN  (Q97S36)    , SYFA_STRPQ  (P0DG51)    , SYFA_STRPZ  (B5XKQ6)    ,
SYFA_STRR6  (Q8DQT8)    , SYFA_STRS7  (C0MH11)    , SYFA_STRT1  (Q5LZ70)    ,
SYFA_STRT2  (Q5M3S5)    , SYFA_STRTD  (Q03K19)    , SYFA_STRU0  (B9DRU2)    ,
SYFA_STRZJ  (C1CCV6)    , SYFA_SULAC  (Q4J8P9)    , SYFA_SULDN  (Q30S84)    ,
SYFA_SULNB  (A6Q7P7)    , SYFA_SULSY  (B2V6V0)    , SYFA_SULTO  (Q971D7)    ,
SYFA_SYMTH  (Q67QF3)    , SYFA_SYNAS  (Q2LR28)    , SYFA_SYNC1  (Q3A4N9)    ,
SYFA_SYNFM  (A0LFC6)    , SYFA_SYNWW  (Q0AY00)    , SYFA_SYNY3  (Q55187)    ,
SYFA_TERTT  (C5BSQ6)    , SYFA_THEAC  (P57693)    , SYFA_THEFY  (Q47N75)    ,
SYFA_THEGJ  (C5A5Y9)    , SYFA_THEKO  (Q76KA8)    , SYFA_THEMA  (Q9WZS8)    ,
SYFA_THENN  (B9KAE8)    , SYFA_THEON  (B6YTJ4)    , SYFA_THEP1  (A5IIW2)    ,
SYFA_THESM  (C6A236)    , SYFA_THESQ  (B1LCK9)    , SYFA_THET2  (Q72HA1)    ,
SYFA_THET8  (Q5SGX2)    , SYFA_THETH  (P27001)    , SYFA_THEVB  (Q8DL09)    ,
SYFA_THEVO  (Q979U4)    , SYFA_THIDA  (Q3SK30)    , SYFA_THISH  (B8GRI4)    ,
SYFA_TOLAT  (C4LFG9)    , SYFA_TREPA  (O83938)    , SYFA_TREPS  (B2S4L0)    ,
SYFA_TRIL1  (B3E1T9)    , SYFA_TRIV2  (Q3MB99)    , SYFA_TROW8  (Q83HH3)    ,
SYFA_TROWT  (Q83GS9)    , SYFA_UREP2  (B1AJ99)    , SYFA_UREPA  (Q9PQ32)    ,
SYFA_UREU1  (B5ZBV3)    , SYFA_VAIC1  (C4V6K5)    , SYFA_VARPS  (C5CUU6)    ,
SYFA_VEREI  (A1WMG9)    , SYFA_VIBA3  (B7VPK0)    , SYFA_VIBC1  (A7MVJ5)    ,
SYFA_VIBC3  (A5F1W4)    , SYFA_VIBCH  (Q9KSN7)    , SYFA_VIBCM  (C3LLR5)    ,
SYFA_VIBPA  (Q87Q60)    , SYFA_VIBVU  (Q8DA40)    , SYFA_VIBVY  (Q7MK39)    ,
SYFA_WIGBR  (Q8D3B6)    , SYFA_WOLPM  (Q73IM5)    , SYFA_WOLPP  (B3CMZ6)    ,
SYFA_WOLSU  (Q7M8Y9)    , SYFA_WOLTR  (Q5GTJ5)    , SYFA_WOLWR  (C0R5D1)    ,
SYFA_XANAC  (Q8PJE4)    , SYFA_XANC5  (Q3BRU1)    , SYFA_XANC8  (Q4UW53)    ,
SYFA_XANCB  (B0RRH3)    , SYFA_XANCP  (Q8P7Z5)    , SYFA_XANOM  (Q2P0Z9)    ,
SYFA_XANOP  (B2SUL9)    , SYFA_XANOR  (Q5GXY4)    , SYFA_XYLF2  (B2I9P4)    ,
SYFA_XYLFA  (Q9PFD7)    , SYFA_XYLFM  (B0U5D9)    , SYFA_XYLFT  (Q87AB5)    ,
SYFA_YEAST  (P15625)    , SYFA_YERE8  (A1JML2)    , SYFA_YERP3  (A7FHG5)    ,
SYFA_YERPA  (Q1C733)    , SYFA_YERPB  (B2K664)    , SYFA_YERPE  (Q8ZDX0)    ,
SYFA_YERPG  (A9R0A4)    , SYFA_YERPN  (Q1CIG8)    , SYFA_YERPP  (A4TIL5)    ,
SYFA_YERPS  (Q669Z5)    , SYFA_YERPY  (B1JJ21)    , SYFA_ZYMMO  (Q5NMC2)    ,
SYFB_ACIAD  (Q6F873)    , SYFB_AERPE  (Q9Y9I3)    , SYFB_AGRFC  (Q8UIN4)    ,
SYFB_ALIF1  (Q5E5G5)    , SYFB_ANADE  (Q2IJB3)    , SYFB_ANAMM  (Q5PA83)    ,
SYFB_AQUAE  (O67620)    , SYFB_ARATH  (Q9SGE9)    , SYFB_ARCFU  (O28848)    ,
SYFB_AROAE  (Q5P7Y0)    , SYFB_AYWBP  (Q2NJZ2)    , SYFB_BACAN  (Q81L31)    ,
SYFB_BACC1  (Q72ZI2)    , SYFB_BACCR  (Q817I7)    , SYFB_BACCZ  (Q633N5)    ,
SYFB_BACFN  (Q5LC76)    , SYFB_BACFR  (Q64T65)    , SYFB_BACHK  (Q6HCW8)    ,
SYFB_BACLD  (Q65GD3)    , SYFB_BACSU  (P17922)    , SYFB_BACTN  (Q8AA39)    ,
SYFB_BARHE  (Q6G5I2)    , SYFB_BARQU  (Q6G0Y3)    , SYFB_BDEBA  (Q6MMJ1)    ,
SYFB_BIFLO  (Q8G5E8)    , SYFB_BLOFL  (Q7VR66)    , SYFB_BLOPB  (Q492V0)    ,
SYFB_BORAP  (Q0SMZ4)    , SYFB_BORBR  (Q7WKR4)    , SYFB_BORBU  (P94283)    ,
SYFB_BORBZ  (B7J278)    , SYFB_BORDL  (B5RM71)    , SYFB_BORGP  (Q661A7)    ,
SYFB_BORHD  (B2S0L6)    , SYFB_BORPA  (Q7W7C6)    , SYFB_BORPE  (Q7VVR5)    ,
SYFB_BORRA  (B5RPL7)    , SYFB_BORT9  (A1QZU9)    , SYFB_BRADU  (Q89WI2)    ,
SYFB_BRUA2  (Q2YQV4)    , SYFB_BRUAB  (Q57AD9)    , SYFB_BRUME  (Q8YE74)    ,
SYFB_BRUSU  (Q8FXX4)    , SYFB_BUCAI  (P57230)    , SYFB_BUCAP  (P59057)    ,
SYFB_BUCBP  (P59505)    , SYFB_BURL3  (Q39H50)    , SYFB_BURMA  (Q62KI7)    ,
SYFB_BURP1  (Q3JT07)    , SYFB_BURPS  (Q63TM7)    , SYFB_BURTA  (Q2SVE3)    ,
SYFB_CAEEL  (Q19713)    , SYFB_CALS4  (Q8R9C7)    , SYFB_CAMJE  (Q9PP35)    ,
SYFB_CAMJR  (Q5HUR2)    , SYFB_CANAX  (O13432)    , SYFB_CARHZ  (Q3ABT5)    ,
SYFB_CAUVC  (Q9A9E5)    , SYFB_CERS4  (Q3J5M6)    , SYFB_CHLAB  (Q5L6W7)    ,
SYFB_CHLCH  (Q3AQC6)    , SYFB_CHLCV  (Q824J8)    , SYFB_CHLL3  (Q3B4Z2)    ,
SYFB_CHLMU  (Q9PJR8)    , SYFB_CHLPN  (Q9Z7W0)    , SYFB_CHLTA  (Q3KLM3)    ,
SYFB_CHLTE  (Q8KEF9)    , SYFB_CHLTR  (O84481)    , SYFB_CHRVO  (Q7NYC1)    ,
SYFB_CLOAB  (Q97GL0)    , SYFB_CLOPE  (Q8XJ76)    , SYFB_CLOTE  (Q891T8)    ,
SYFB_COLP3  (Q47ZS5)    , SYFB_CORDI  (Q6NHH1)    , SYFB_COREF  (Q8FTP0)    ,
SYFB_CORGL  (Q8NQN6)    , SYFB_CORJK  (Q4JW05)    , SYFB_COXBU  (Q83C15)    ,
SYFB_CUPPJ  (Q472N3)    , SYFB_CUTAK  (Q6A7V6)    , SYFB_DECAR  (Q47CM9)    ,
SYFB_DEHM1  (Q3Z9I7)    , SYFB_DEHMC  (Q3ZZD2)    , SYFB_DEIRA  (Q9RRX5)    ,
SYFB_DESPS  (Q6ANC2)    , SYFB_DESVH  (Q728S0)    , SYFB_DICD3  (P37984)    ,
SYFB_DICDI  (Q550D2)    , SYFB_DROME  (Q9VCA5)    , SYFB_ECO57  (Q8XE32)    ,
SYFB_ECOL6  (P59664)    , SYFB_ECOLI  (P07395)    , SYFB_EHRCJ  (Q3YRN4)    ,
SYFB_EHRRG  (Q5FFS3)    , SYFB_EHRRW  (Q5HAU7)    , SYFB_ENCCU  (Q8SS40)    ,
SYFB_ENTBH  (A9CS50)    , SYFB_ENTFA  (Q836J5)    , SYFB_FRATT  (Q5NG54)    ,
SYFB_FUSNN  (Q8RHB5)    , SYFB_GEOKA  (Q5KWE5)    , SYFB_GEOMG  (Q39VS4)    ,
SYFB_GEOSL  (Q74CZ9)    , SYFB_GLOVI  (Q7NCQ2)    , SYFB_GLUOX  (Q5FUA2)    ,
SYFB_GRATL  (Q6B8Z8)    , SYFB_HAEDU  (Q7VLG3)    , SYFB_HAEI8  (Q4QKM3)    ,
SYFB_HAEIN  (P43820)    , SYFB_HAHCH  (Q2SDJ7)    , SYFB_HALH5  (Q9K896)    ,
SYFB_HALLT  (B9LU47)    , SYFB_HALMA  (Q5UYF3)    , SYFB_HALS3  (B0R807)    ,
SYFB_HALSA  (Q9HMK3)    , SYFB_HELHP  (Q7VK65)    , SYFB_HELPJ  (Q9ZKF8)    ,
SYFB_HELPY  (P56145)    , SYFB_HUMAN  (Q9NSD9)    , SYFB_HYDCU  (Q31F19)    ,
SYFB_IDILO  (Q5QXL8)    , SYFB_KORCO  (B1L7C0)    , SYFB_LACAC  (Q5FIY7)    ,
SYFB_LACJO  (Q74IE2)    , SYFB_LACLA  (Q9CEB5)    , SYFB_LACPL  (Q88WR2)    ,
SYFB_LATSS  (Q38VV4)    , SYFB_LEGPA  (Q5X1H8)    , SYFB_LEGPH  (Q5ZS09)    ,
SYFB_LEGPL  (Q5WT87)    , SYFB_LEIXX  (Q6AGD6)    , SYFB_LEPBA  (B0SAR6)    ,
SYFB_LEPBJ  (Q04VV0)    , SYFB_LEPBL  (Q04XL9)    , SYFB_LEPBP  (B0SJF2)    ,
SYFB_LEPIC  (Q72MG8)    , SYFB_LEPIN  (Q8EZ26)    , SYFB_LISIN  (Q92CI6)    ,
SYFB_LISMF  (Q720K7)    , SYFB_LISMO  (Q8Y7Q1)    , SYFB_MAGSA  (Q2VYZ1)    ,
SYFB_MALP2  (Q8EUJ9)    , SYFB_MANSM  (Q65TL3)    , SYFB_MESFL  (Q6F166)    ,
SYFB_MESH2  (Q601U6)    , SYFB_MESH7  (Q4A891)    , SYFB_MESHJ  (Q4AA64)    ,
SYFB_MESM1  (Q6KHC8)    , SYFB_META3  (A6UWT1)    , SYFB_METAC  (Q8TPF7)    ,
SYFB_METAR  (Q0W0X4)    , SYFB_METB6  (A7I615)    , SYFB_METBF  (Q468N7)    ,
SYFB_METBU  (Q12YP2)    , SYFB_METCA  (Q60AY9)    , SYFB_METHJ  (Q2FLL1)    ,
SYFB_METJA  (Q58508)    , SYFB_METKA  (Q8TX56)    , SYFB_METLZ  (A2ST82)    ,
SYFB_METM5  (A4FWS3)    , SYFB_METM6  (A9AA58)    , SYFB_METM7  (A6VGJ4)    ,
SYFB_METMA  (Q8PTA5)    , SYFB_METMJ  (A3CT77)    , SYFB_METMP  (Q6LXU2)    ,
SYFB_METPE  (B8GEX4)    , SYFB_METS5  (A4YIL0)    , SYFB_METST  (Q2NGX9)    ,
SYFB_METTH  (O26864)    , SYFB_METTP  (A0B993)    , SYFB_METVS  (A6UPQ4)    ,
SYFB_MOOTA  (Q2RHN8)    , SYFB_MOUSE  (Q9WUA2)    , SYFB_MYCBO  (Q7VEV3)    ,
SYFB_MYCCT  (Q2SS99)    , SYFB_MYCGA  (Q7NBB7)    , SYFB_MYCGE  (P47437)    ,
SYFB_MYCLE  (Q9CC16)    , SYFB_MYCMS  (Q6MT18)    , SYFB_MYCPA  (Q740J0)    ,
SYFB_MYCPN  (P75563)    , SYFB_MYCPU  (Q98QL4)    , SYFB_MYCS5  (Q4A6A2)    ,
SYFB_MYCTO  (P9WFU0)    , SYFB_MYCTU  (P9WFU1)    , SYFB_NATPD  (Q3ITU5)    ,
SYFB_NEIG1  (Q5F9T6)    , SYFB_NEIMA  (Q9JVA0)    , SYFB_NEIMB  (Q9K089)    ,
SYFB_NEOYE  (Q1XDE1)    , SYFB_NITEU  (Q82VV6)    , SYFB_NITMU  (Q2YBS1)    ,
SYFB_NITOC  (Q3JBZ7)    , SYFB_NITWN  (Q3SWK8)    , SYFB_NOCFA  (Q5YYH6)    ,
SYFB_NOSS1  (Q8YMH5)    , SYFB_NOVAD  (Q2GAI7)    , SYFB_OCEIH  (Q8EPH5)    ,
SYFB_OLEA2  (Q30Y16)    , SYFB_ONYPE  (Q6YPX7)    , SYFB_PARMW  (Q7U6V9)    ,
SYFB_PARUW  (Q6MEA6)    , SYFB_PASMU  (P57859)    , SYFB_PECAS  (Q6D4H3)    ,
SYFB_PELUB  (Q4FNH4)    , SYFB_PHATC  (A0T0H4)    , SYFB_PHOLL  (Q7N3Q1)    ,
SYFB_PHOPR  (Q6LQ73)    , SYFB_PLAVS  (A5K464)    , SYFB_PONAB  (Q5R7F7)    ,
SYFB_PORGI  (Q7MXR4)    , SYFB_PORPU  (P51346)    , SYFB_PROM9  (Q31AV5)    ,
SYFB_PROMA  (Q7VBX6)    , SYFB_PROMM  (Q7V7K5)    , SYFB_PROMP  (Q7V1J8)    ,
SYFB_PROMT  (Q46KZ8)    , SYFB_PSE14  (Q48JR8)    , SYFB_PSEAE  (Q9I0A4)    ,
SYFB_PSEF5  (Q4KEV9)    , SYFB_PSEPF  (Q3KEX7)    , SYFB_PSEPK  (Q88K22)    ,
SYFB_PSESM  (Q883H7)    , SYFB_PSET1  (Q3IIL2)    , SYFB_PSEU2  (Q4ZUG2)    ,
SYFB_PSYA2  (Q4FQ66)    , SYFB_PYRAB  (Q9UYX2)    , SYFB_PYRAE  (Q8ZWQ7)    ,
SYFB_PYRFU  (Q8U260)    , SYFB_PYRHO  (O73984)    , SYFB_RALN1  (Q8XZ24)    ,
SYFB_RHILO  (Q98CQ1)    , SYFB_RHIME  (Q92SS9)    , SYFB_RHOBA  (Q7UP77)    ,
SYFB_RHOPA  (Q6NDR9)    , SYFB_RHORT  (Q2RNH7)    , SYFB_RICBR  (Q1RIS8)    ,
SYFB_RICCN  (Q92I38)    , SYFB_RICFE  (Q4ULS4)    , SYFB_RICPR  (Q9ZDB4)    ,
SYFB_RICTY  (Q68WW1)    , SYFB_RUEPO  (Q5LMS3)    , SYFB_SACS2  (P95960)    ,
SYFB_SALCH  (Q57PU8)    , SYFB_SALPA  (Q5PH85)    , SYFB_SALRD  (Q2RYT3)    ,
SYFB_SALTI  (Q8Z6I4)    , SYFB_SALTY  (P15434)    , SYFB_SCHPO  (O42849)    ,
SYFB_SHEON  (Q8EF99)    , SYFB_SHIBS  (Q321K5)    , SYFB_SHIDS  (Q32FI6)    ,
SYFB_SHIFL  (Q83L36)    , SYFB_SHISS  (Q3Z261)    , SYFB_SHOC1  (Q5WEJ6)    ,
SYFB_SODGM  (Q2NT27)    , SYFB_SOLUE  (Q01SP7)    , SYFB_STAA3  (Q2FHU2)    ,
SYFB_STAAB  (Q2YX86)    , SYFB_STAAC  (Q5HGU5)    , SYFB_STAAM  (P67040)    ,
SYFB_STAAN  (P67041)    , SYFB_STAAR  (Q6GHU6)    , SYFB_STAAS  (Q6GA75)    ,
SYFB_STAAU  (Q9AGR3)    , SYFB_STAAW  (Q8NX60)    , SYFB_STAEQ  (Q5HQ35)    ,
SYFB_STAES  (Q8CSY8)    , SYFB_STAHJ  (Q4L5E4)    , SYFB_STAS1  (Q49WQ6)    ,
SYFB_STRA1  (Q3K1I7)    , SYFB_STRA3  (Q8E5U1)    , SYFB_STRA5  (Q8E064)    ,
